GOODS_OR_SERVICES,PRICES,DATES,EXPENSE_TYPE
Grocery & Vegetables,850.0,2026-09-15,FOOD
Electricity & Water Bill,2400.0,2026-09-16,HOUSEHOLD
Fuel & Metro Pass,650.0,2026-09-17,TRANSPORTATION
Monthly Tuition & Books,3500.0,2026-09-18,SCHOOL FEE
Restaurant Dinner,1200.0,2026-09-19,FOOD
House Cleaning Supplies,350.0,2026-09-19,HOUSEHOLD
Stationery & Notebooks,450.0,2026-09-19,SCHOOL FEE
Stationery & Notebooks,450.0,2026-09-19,SCHOOL FEE
Stationery & Notebooks,450.0,2026-09-19,SCHOOL FEE
Stationery & Notebooks,450.0,2026-09-19,SCHOOL FEE
